what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.cleanAction",1446368280227
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1446368281600
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446368283242
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446368284918
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1446368284960
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1446368288933
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1446368288961
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1446368327324
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1446368328724
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1446368368647
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1446368378329
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1446368380610
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446368381940
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446368383498
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446368400817
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446368401420
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1446368403126
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1446368404003
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446368725739
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446368725759
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446369445997
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446369446016
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446370166066
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446370166085
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446370212857
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446371949877
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1446371953384
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1446371955212
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1446371956362
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1446371977758
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1446371985642
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1446371987802
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1446371998616
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446372002424
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446372002616
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1446372004278
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1446372007022
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1446372019707
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1446372037842
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1446372040028
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446372044516
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446372046404
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.cleanAction",1446372046411
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446372049404
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446372050906
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.cleanAction",1446372050913
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446372052921
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446372054625
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1446372054674
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1446372058635
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1446372058666
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1446372072479
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1446372104982
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1446372106992
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1446372122918
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1446372127028
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1446372128123
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446372129456
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446372130375
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446372133468
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446372134908
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.cleanAction",1446372134917
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446372143352
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1446372145634
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.cleanAction",1446372145643
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1446372157531
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1446372159514
